Ticket,Description,Organization,Status,Priority,Properties,Tags,Assigned,Created
DASH-27,Pending Email for Labworkz Order,Organization 3,ACKNOWLEDGED,P2: Urgent. Workaround available.,Escalated to Service Managers,Signatories; Store Orders,Sophia Johnson; Isabella Gonzalez; Isabella Wilson,12-Aug-25
DASH-28,Doctor Appointed field and Cashier Tag selection not synchronized,Organization 4,ACKNOWLEDGED,P3: Normal.,Org-wide,Docs gen; Bug; Signatories,Evelyn Wilson; Lucas Rodriguez; Ethan Davis,1-Aug-25
DASH-29,Action Tasks Experiencing Delays Across Multiple Labs,Organization 4,WAITING FOR CONFIRMATION,P3: Normal.,Site-wide,Services; Patient Services; Reference Range,John Davis; John Moore; Jacob Anderson,11-Sep-25
DASH-30,Received status code 500 when trying to sign in,Organization 2,WAITING FOR CONFIRMATION,P3: Normal.,Site-wide,Machine Transmission,Ethan Jackson; Jacob Johnson,7-Aug-25
DASH-31,Update clinical chemistry SI docs,Organization 4,IN PROGRESS,P2: Urgent. Workaround available.,Backlog,Store Orders,Ava Brown; Amelia Smith; Noah Martinez,24-Aug-25
DASH-32,No 'Next Queue' appearing for non-superuser accounts,Organization 4,COMPLETED,P3: Normal.,Backlog,Actions,Liam Perez; Mason Wilson,9-Aug-25
DASH-33,Create new docs (consultation summary- LAB FOR ALL),Organization 2,WAITING FOR CONFIRMATION,P3: Normal.,Escalated to Tech Onboarding,Signatories; Actions; Update,Oliver Taylor; Lucas Perez; Amelia Davis,23-Aug-25
DASH-34,Inventory items are empty,Organization 1,ACKNOWLEDGED,P2: Urgent. Workaround available.,Backlog,Actions; Services; Settings,Evelyn Wilson; Abigail Martinez,11-Aug-25
DASH-35,Patient is not automatically queued in the Extractions queue server.,Organization 4,IN PROGRESS,P2: Urgent. Workaround available.,Org-wide,Update; Patient,Oliver Wilson; Ethan Martinez,27-Sep-25
DASH-36,Update lab user's access,Organization 2,ACKNOWLEDGED,P3: Normal.,Backlog,Machine Transmission; Services,Sophia Garcia; Isabella Martin,22-Sep-25
DASH-37,After submitting a patient registration; an error message saying Not Found appears.,Organization 3,ACKNOWLEDGED,P3: Normal.,Escalated to Service Managers,Reference Range,Noah Lopez; Noah Davis,2-Sep-25
DASH-38,TIBC Normal Range Adjustment Request,Organization 1,WAITING FOR CONFIRMATION,P1: Urgent. No workaround.,Escalated to Tech Onboarding,Services,Isabella Thompson,28-Sep-25
DASH-39,Addition of a signatory; and changing of signatory names to 2 Medical Technologists and 1 Pathologist.,Organization 3,IN PROGRESS,P3: Normal.,Escalated to Service Managers,Patient Services; Settings; Update,Mason Martin; Amelia Davis; John Lopez,23-Aug-25
DASH-40,Vital signs are not appearing when a physical exam is administered.,Organization 3,COMPLETED,P3: Normal.,Escalated to Dev,Services; Bug; Actions,Jacob Garcia; Ella Lee; Isabella Thomas,27-Aug-25
DASH-41,Include the Integral Notes on PEME for sea-based as the second page,Organization 2,COMPLETED,P2: Urgent. Workaround available.,Escalated to Tech Onboarding,Results,Logan Martinez; Elijah Wilson; Lucas Gonzalez,8-Sep-25
DASH-42,BP field not allowing for / in the input field,Organization 4,WAITING FOR CONFIRMATION,P3: Normal.,Site-wide,Bug; Documents,Jacob Jackson,4-Sep-25
DASH-43,Missing check mark on Physical Exam Fitness to work field,Organization 2,WAITING FOR CONFIRMATION,P2: Urgent. Workaround available.,Escalated to Dev,Actions; Settings; Docs gen,Mason Taylor,3-Aug-25
DASH-44,Removal of highlight on Recommendation: Class A,Organization 2,IN PROGRESS,P3: Normal.,Org-wide,Bug,Oliver Johnson,9-Aug-25
DASH-45,Plan Types & Plan Benefit Types Lists are not appearing,Organization 2,COMPLETED,P3: Normal.,Site-wide,Settings; Store Orders; Documents,Ella Thomas; Liam Taylor; Charlotte Johnson,13-Sep-25
DASH-46,Patient services were not automatically added after a successful order transaction,Organization 2,COMPLETED,P3: Normal.,Site-wide,Patient,Noah Anderson; Charlotte Davis,24-Sep-25
DASH-47,Duplicate request detected when trying to register in the cashier patient registration,Organization 1,COMPLETED,P3: Normal.,Escalated to Enterprise,User Access; Machine Transmission; Actions,Amelia Brown,20-Sep-25
DASH-48,Client needs to refresh daily to push the records,Organization 4,ACKNOWLEDGED,P3: Normal.,Recurring,Reference Range; Signatories,Liam Johnson; Ava Martinez,16-Aug-25
DASH-49,MCH field in Hematology CBC platelet; No MCH machine to dashlabs results transmission.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Recurring,Machine Transmission; Signatories,Logan Martinez,5-Aug-25
DASH-50,Add new service field (specimen code) under Microbiology service,Organization 3,ACKNOWLEDGED,P3: Normal.,Org-wide,Patient; Bug; Services,Ava Anderson; Ella Wilson,29-Aug-25
