Ticket,Description,Organization,Status,Priority,Properties,Tags,Assigned,Created
DASH-28,Doctor Appointed field and Cashier Tag selection not synchronized Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Org-wide,Docs gen; Bug; Signatories,Evelyn Wilson; Lucas Rodriguez; Ethan Davis,1-Aug-25
DASH-29,Action Tasks Experiencing Delays Across Multiple Labs Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Site-wide,Services; Patient Services; Reference Range,John Davis; John Moore; Jacob Anderson,11-Sep-25
DASH-30,Received status code 500 when trying to sign in Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Site-wide,Machine Transmission,Ethan Jackson; Jacob Johnson,7-Aug-25
DASH-31,Update clinical chemistry SI docs Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Backlog,Store Orders,Ava Brown; Amelia Smith; Noah Martinez,24-Aug-25
DASH-32,No 'Next Queue' appearing for non-superuser accounts Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Backlog,Actions,Liam Perez; Mason Wilson,9-Aug-25
DASH-33,Create new docs (consultation summary- LAB FOR ALL) Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Escalated to Tech Onboarding,Signatories; Actions; Update,Oliver Taylor; Lucas Perez; Amelia Davis,23-Aug-25
DASH-34,Inventory items are empty Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Backlog,Actions; Services; Settings,Evelyn Wilson; Abigail Martinez,11-Aug-25
DASH-35,Patient is not automatically queued in the Extractions queue server. Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Org-wide,Update; Patient,Oliver Wilson; Ethan Martinez,27-Sep-25
DASH-36,Update lab user's access Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Backlog,Machine Transmission; Services,Sophia Garcia; Isabella Martin,22-Sep-25
DASH-37,After submitting a patient registration; an error message saying Not Found appears. Login failure and timeout issue observed.,Organization 2,COMPLETED,P1: Urgent. No workaround.,Escalated to Service Managers,Reference Range,Noah Lopez; Noah Davis,2-Sep-25
DASH-38,TIBC Normal Range Adjustment Request Login failure and timeout issue observed.,Organization 4,COMPLETED,P2: Urgent. Workaround available.,Escalated to Tech Onboarding,Services,Isabella Thompson,28-Sep-25
DASH-39,Addition of a signatory; and changing of signatory names to 2 Medical Technologists and 1 Pathologist. Login failure and timeout issue observed.,Organization 3,COMPLETED,P2: Urgent. Workaround available.,Escalated to Service Managers,Patient Services; Settings; Update,Mason Martin; Amelia Davis; John Lopez,23-Aug-25
DASH-40,Vital signs are not appearing when a physical exam is administered. Login failure and timeout issue observed.,Organization 2,COMPLETED,P2: Urgent. Workaround available.,Escalated to Dev,Services; Bug; Actions,Jacob Garcia; Ella Lee; Isabella Thomas,27-Aug-25
DASH-41,Include the Integral Notes on PEME for sea-based as the second page Login failure and timeout issue observed.,Organization 3,COMPLETED,P2: Urgent. Workaround available.,Escalated to Tech Onboarding,Results,Logan Martinez; Elijah Wilson; Lucas Gonzalez,8-Sep-25
DASH-42,BP field not allowing for / in the input field Login failure and timeout issue observed.,Organization 4,COMPLETED,P2: Urgent. Workaround available.,Site-wide,Bug; Documents,Jacob Jackson,4-Sep-25
DASH-43,Missing check mark on Physical Exam Fitness to work field Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Escalated to Dev,Actions; Settings; Docs gen,Mason Taylor,3-Aug-25
DASH-44,Removal of highlight on Recommendation: Class A Login failure and timeout issue observed.,Organization 4,COMPLETED,P1: Urgent. No workaround.,Org-wide,Bug,Oliver Johnson,9-Aug-25
DASH-45,Plan Types & Plan Benefit Types Lists are not appearing Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Site-wide,Settings; Store Orders; Documents,Ella Thomas; Liam Taylor; Charlotte Johnson,13-Sep-25
DASH-46,Patient services were not automatically added after a successful order transaction Login failure and timeout issue observed.,Organization 1,COMPLETED,P2: Urgent. Workaround available.,Site-wide,Patient,Noah Anderson; Charlotte Davis,24-Sep-25
DASH-47,Duplicate request detected when trying to register in the cashier patient registration Login failure and timeout issue observed.,Organization 2,COMPLETED,P3: Normal.,Escalated to Enterprise,User Access; Machine Transmission; Actions,Amelia Brown,20-Sep-25
DASH-48,Client needs to refresh daily to push the records Login failure and timeout issue observed.,Organization 1,COMPLETED,P1: Urgent. No workaround.,Recurring,Reference Range; Signatories,Liam Johnson; Ava Martinez,16-Aug-25
DASH-49,MCH field in Hematology CBC platelet; No MCH machine to dashlabs results transmission. Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Recurring,Machine Transmission; Signatories,Logan Martinez,5-Aug-25
DASH-50,Add new service field (specimen code) under Microbiology service Login failure and timeout issue observed.,Organization 3,COMPLETED,P1: Urgent. No workaround.,Org-wide,Patient; Bug; Services,Ava Anderson; Ella Wilson,29-Aug-25
